hub_name,target_h3,target_dong,terrain_zone,distance_m,flight_time_min,hub_elev,target_elev,elev_diff,urgency,robot_time_min,total_delivery_min
청계2(북1) 공영주차장(시),8930e1d8d97ffff,종로1·2·3·4가동,Green,1915.6,1.92,32.52623748779297,58.17357635498047,25.6473388671875,0.7590638006572322,32.18208,13.574624
청계2(북1) 공영주차장(시),8930e1d8dc3ffff,종로1·2·3·4가동,Yellow,939.1,0.94,32.52623748779297,37.69868850708008,5.172451019287109,0.7590638006572322,39.4422,0.94
청계2(북1) 공영주차장(시),8930e1d8d13ffff,종로1·2·3·4가동,Yellow,1097.6,1.1,32.52623748779297,37.15871810913086,4.632480621337891,0.7590638006572322,46.099199999999996,1.1
청계2(북1) 공영주차장(시),8930e1d8d5bffff,종로1·2·3·4가동,Green,218.7,0.22,32.52623748779297,35.432254791259766,2.906017303466797,0.7590638006572322,3.6741599999999996,3.322248
청계2(북1) 공영주차장(시),8930e1d8dcfffff,종로1·2·3·4가동,Green,682.9,0.68,32.52623748779297,41.1026496887207,8.576412200927734,0.7590638006572322,11.472719999999999,6.121816
양남사거리 앞 노상주차장(구),8930e1db323ffff,여의동,Green,861.5,0.86,18.449785232543945,25.59462547302246,7.144840240478516,0.8760664828883493,14.473199999999999,7.20196
양남사거리 앞 노상주차장(구),8930e1db377ffff,여의동,Green,362.9,0.36,18.449785232543945,18.1405086517334,-0.3092765808105469,0.8760664828883493,6.0967199999999995,4.189016
양남사거리 앞 노상주차장(구),8930e1db367ffff,여의동,Green,481.1,0.48,18.449785232543945,13.615387916564941,-4.834397315979004,0.8760664828883493,8.08248,4.904744
양남사거리 앞 노상주차장(구),8930e1db33bffff,여의동,Green,632.6,0.63,18.449785232543945,23.988637924194336,5.538852691650391,0.8760664828883493,10.62768,5.8183039999999995
양남사거리 앞 노상주차장(구),8930e1db32bffff,여의동,Green,623.2,0.62,18.449785232543945,19.6005859375,1.1508007049560547,0.8760664828883493,10.46976,5.760928
서소문올리브타워옆 공영주차장(구),8930e1d8c1bffff,명동,Green,446.3,0.45,44.04067611694336,45.29681396484375,1.2561378479003906,0.46366570364999493,7.497839999999999,4.699351999999999
서소문올리브타워옆 공영주차장(구),8930e1d8ea7ffff,명동,Green,992.5,0.99,44.04067611694336,55.88701248168945,11.846336364746094,0.46366570364999493,16.674,7.9921999999999995
서소문올리브타워옆 공영주차장(구),8930e1d8c0bffff,명동,Green,351.6,0.35,44.04067611694336,43.570560455322266,-0.47011566162109375,0.46366570364999493,5.90688,4.122064
서소문올리브타워옆 공영주차장(구),8930e1d8c6bffff,명동,Green,796.8,0.8,44.04067611694336,47.97298812866211,3.93231201171875,0.46366570364999493,13.386239999999997,6.815871999999999
서소문올리브타워옆 공영주차장(구),8930e1d857bffff,신촌동,Yellow,2774.5,2.77,44.04067611694336,61.13776397705078,17.097087860107422,0.4257715991107658,116.529,2.77
여의도공원 공영주차장(시),8930e1d95cfffff,여의동,Green,205.4,0.21,18.195772171020508,16.335494995117188,-1.8602771759033203,0.8760664828883493,3.4507199999999996,3.245216
여의도공원 공영주차장(시),8930e1d95c3ffff,여의동,Yellow,493.6,0.49,18.195772171020508,10.873092651367188,-7.32267951965332,0.8760664828883493,20.7312,0.49
여의도공원 공영주차장(시),8930e1d954fffff,여의동,Yellow,608.4,0.61,18.195772171020508,14.094833374023438,-4.10093879699707,0.8760664828883493,25.552799999999994,0.61
여의도공원 공영주차장(시),8930e1d9557ffff,여의동,Green,101.5,0.1,18.195772171020508,20.604610443115234,2.4088382720947266,0.8760664828883493,1.7052,2.61156
여의도공원 공영주차장(시),8930e1d9547ffff,여의동,Green,384.6,0.38,18.195772171020508,20.280546188354492,2.0847740173339844,0.8760664828883493,6.461279999999999,4.318383999999999
논현초교 공영주차장(구),8930e1ca06bffff,역삼1동,Green,1772.8,1.77,34.63091278076172,43.39691162109375,8.765998840332031,1.0,29.783039999999996,12.704911999999998
논현초교 공영주차장(구),8930e1ca3d3ffff,역삼1동,Yellow,2034.4,2.03,34.63091278076172,43.89303207397461,9.26211929321289,1.0,85.4448,2.03
논현초교 공영주차장(구),8930e1ca04fffff,역삼1동,Green,1597.5,1.6,34.63091278076172,39.5843620300293,4.953449249267578,1.0,26.837999999999997,11.651399999999999
논현초교 공영주차장(구),8930e1ca04bffff,역삼1동,Green,1712.0,1.71,34.63091278076172,30.5178165435791,-4.113096237182617,1.0,28.761599999999998,12.33848
논현초교 공영주차장(구),8930e1ca2bbffff,역삼1동,Yellow,2219.3,2.22,34.63091278076172,26.66887664794922,-7.9620361328125,1.0,93.2106,2.22
동호대교(남) 공영주차장(시),8930e1ca503ffff,압구정동,Green,609.2,0.61,24.659318923950195,22.704816818237305,-1.9545021057128906,0.3122570236969347,10.23456,5.680368
동호대교(남) 공영주차장(시),8930e1ca577ffff,압구정동,Green,1026.9,1.03,24.659318923950195,23.318283081054688,-1.3410358428955078,0.3122570236969347,17.251920000000002,8.205576
동호대교(남) 공영주차장(시),8930e1ca5cfffff,압구정동,Green,100.7,0.1,24.659318923950195,23.94915771484375,-0.7101612091064453,0.3122570236969347,1.69176,2.6075280000000003
동호대교(남) 공영주차장(시),8930e1ca567ffff,압구정동,Green,1285.1,1.29,24.659318923950195,24.515172958374023,-0.14414596557617188,0.3122570236969347,21.589679999999994,9.766903999999998
동호대교(남) 공영주차장(시),8930e1ca53bffff,압구정동,Green,1040.5,1.04,24.659318923950195,21.93312644958496,-2.7261924743652344,0.3122570236969347,17.4804,8.28412
독산동 금천교 공영주차장(시),8930e0acb4bffff,가산동,Green,2023.8,2.02,19.038209915161133,16.91786766052246,-2.120342254638672,0.506921532130431,33.99984,14.219952
독산동 금천교 공영주차장(시),8930e036553ffff,가산동,Green,915.4,0.92,19.038209915161133,22.20930290222168,3.171092987060547,0.506921532130431,15.37872,7.533615999999999
독산동 금천교 공영주차장(시),8930e036497ffff,가산동,Green,2064.9,2.06,19.038209915161133,13.953499794006348,-5.084710121154785,0.506921532130431,34.69032,14.467096
독산동 금천교 공영주차장(시),8930e0364b3ffff,가산동,Green,1747.2,1.75,19.038209915161133,18.96285057067871,-0.07535934448242188,0.506921532130431,29.35296,12.555888
독산동 금천교 공영주차장(시),8930e036423ffff,가산동,Green,671.7,0.67,19.038209915161133,17.067983627319336,-1.9702262878417969,0.506921532130431,11.284559999999999,6.055368
천왕역 공영주차장(시),8930e0addd7ffff,오류2동,Green,996.6,1.0,29.58268165588379,38.6880989074707,9.105417251586914,0.1757480559313332,16.74288,8.022863999999998
천왕역 공영주차장(시),8930e0ac32fffff,오류2동,Yellow,234.2,0.23,29.58268165588379,33.84318542480469,4.260503768920898,0.1757480559313332,9.836399999999998,0.23
천왕역 공영주차장(시),8930e0ace5bffff,오류2동,Green,106.9,0.11,29.58268165588379,26.998455047607422,-2.584226608276367,0.1757480559313332,1.7959199999999997,2.648776
천왕역 공영주차장(시),8930e0ac303ffff,오류2동,Green,1154.7,1.15,29.58268165588379,36.45245361328125,6.869771957397461,0.1757480559313332,19.39896,8.969688
천왕역 공영주차장(시),8930e0ac377ffff,오류2동,Green,755.2,0.76,29.58268165588379,43.16019821166992,13.577516555786133,0.1757480559313332,12.68736,6.566208
렉싱턴호텔뒤 노상주차장(구),8930e1d91bbffff,여의동,Yellow,453.4,0.45,22.520593643188477,16.666213989257812,-5.854379653930664,0.8760664828883493,19.042799999999996,0.45
렉싱턴호텔뒤 노상주차장(구),8930e1d826bffff,여의동,Green,852.8,0.85,22.520593643188477,29.071697235107422,6.551103591918945,0.8760664828883493,14.327039999999998,7.148111999999999
렉싱턴호텔뒤 노상주차장(구),8930e1d918fffff,여의동,Green,448.2,0.45,22.520593643188477,24.077646255493164,1.5570526123046875,0.8760664828883493,7.52976,4.708928
렉싱턴호텔뒤 노상주차장(구),8930e1d8213ffff,여의동,Green,1452.5,1.45,22.520593643188477,28.814346313476562,6.293752670288086,0.8760664828883493,24.401999999999997,10.770599999999998
렉싱턴호텔뒤 노상주차장(구),8930e1d91d7ffff,여의동,Yellow,788.5,0.79,22.520593643188477,16.56269073486328,-5.957902908325195,0.8760664828883493,33.117,0.79
난지중앙로노상공영주차장(시),8930e1db5dbffff,상암동,Green,258.3,0.26,36.67394256591797,32.676979064941406,-3.9969635009765625,0.29836337231651155,4.33944,3.561832
난지중앙로노상공영주차장(시),8930e1db0a3ffff,상암동,Green,1465.2,1.47,36.67394256591797,22.85085678100586,-13.82308578491211,0.29836337231651155,24.615359999999995,10.854607999999999
난지중앙로노상공영주차장(시),8930e1da2dbffff,상암동,Green,1685.2,1.69,36.67394256591797,23.628223419189453,-13.045719146728516,0.29836337231651155,28.311359999999997,12.183407999999998
난지중앙로노상공영주차장(시),8930e1db5afffff,상암동,Yellow,1419.0,1.42,36.67394256591797,31.268810272216797,-5.405132293701172,0.29836337231651155,59.598,1.42
난지중앙로노상공영주차장(시),8930e1db427ffff,상암동,Yellow,448.0,0.45,36.67394256591797,14.403252601623535,-22.270689964294434,0.29836337231651155,18.816,0.45
언북초교 공영주차장(구),8930e1ca387ffff,역삼1동,Green,1764.9,1.76,38.185150146484375,30.674049377441406,-7.511100769042969,1.0,29.65032,12.655096
언북초교 공영주차장(구),8930e1cae97ffff,삼성1동,Green,982.0,0.98,38.185150146484375,30.872045516967773,-7.313104629516602,0.4532355303185298,16.4976,7.9292799999999986
언북초교 공영주차장(구),8930e1cac43ffff,삼성1동,Green,1055.3,1.06,38.185150146484375,26.720556259155273,-11.464593887329102,0.4532355303185298,17.729039999999998,8.378711999999998
언북초교 공영주차장(구),8930e1ca163ffff,삼성1동,Green,957.1,0.96,38.185150146484375,36.03026580810547,-2.1548843383789062,0.4532355303185298,16.07928,7.783784
언북초교 공영주차장(구),8930e1cac47ffff,삼성1동,Green,1283.6,1.28,38.185150146484375,27.14211082458496,-11.043039321899414,0.4532355303185298,21.564479999999996,9.749343999999999
