ADM_NM,GU_NM,n_cells,avg_urgency,avg_composite,avg_airspace,avg_obstacle,avg_noise,avg_terrain,avg_weather,pct_feasible
가락1동,송파구,20,0.105,0.0,0.0,0.739,0.948,0.875,0.953,0.0
가락2동,송파구,13,0.105,0.0,0.0,0.725,0.844,1.0,0.973,0.0
가락본동,송파구,15,0.208,0.0,0.0,0.715,0.84,0.967,0.974,0.0
가리봉동,구로구,6,0.044,0.352,1.0,0.572,0.689,0.917,0.96,100.0
가산동,금천구,35,0.507,0.314,1.0,0.416,0.885,0.914,0.955,100.0
가양1동,강서구,65,0.0,0.79,1.0,0.873,0.965,0.954,0.972,100.0
가양2동,강서구,12,0.042,0.737,1.0,0.773,0.976,1.0,0.974,100.0
가양3동,강서구,6,0.037,0.529,1.0,0.559,0.957,1.0,0.981,100.0
가회동,종로구,7,0.062,0.339,1.0,0.667,0.725,0.786,0.922,85.714
갈현1동,은평구,13,0.104,0.385,1.0,0.934,0.684,0.731,0.892,84.615
갈현2동,은평구,15,0.107,0.3,1.0,0.793,0.709,0.6,0.884,86.667
강일동,강동구,31,0.16,0.885,1.0,0.96,0.98,0.968,0.972,100.0
개봉1동,구로구,17,0.1,0.452,1.0,0.826,0.757,0.794,0.936,94.118
개봉2동,구로구,11,0.083,0.545,1.0,0.88,0.805,0.818,0.929,90.909
개봉3동,구로구,10,0.062,0.473,1.0,0.891,0.807,0.7,0.904,90.0
개포1동,강남구,22,0.065,0.0,0.0,0.844,0.912,0.886,0.945,0.0
개포2동,강남구,31,0.165,0.0,0.0,0.827,0.956,0.806,0.937,0.0
개포3동,강남구,16,0.0,0.0,0.0,0.864,0.956,0.906,0.958,0.0
개포4동,강남구,23,0.072,0.0,0.0,0.885,0.895,0.826,0.933,0.0
거여1동,송파구,9,0.036,0.0,0.0,0.741,0.84,0.889,0.956,0.0
거여2동,송파구,7,0.067,0.0,0.0,0.744,0.687,1.0,0.973,0.0
고덕1동,강동구,21,0.07,0.732,1.0,0.844,0.953,0.952,0.96,100.0
고덕2동,강동구,36,0.089,0.733,1.0,0.892,0.951,0.903,0.959,100.0
고척1동,구로구,16,0.112,0.398,1.0,0.572,0.838,0.906,0.955,100.0
고척2동,구로구,16,0.055,0.379,1.0,0.796,0.758,0.719,0.923,87.5
공덕동,마포구,13,0.163,0.386,1.0,0.785,0.608,0.885,0.934,100.0
공릉1동,노원구,17,0.179,0.569,1.0,0.812,0.822,0.882,0.957,100.0
공릉2동,노원구,95,0.209,0.636,1.0,0.815,0.961,0.858,0.94,92.632
공항동,강서구,146,0.156,0.869,1.0,0.936,0.964,0.979,0.98,100.0
광장동,광진구,33,0.13,0.514,1.0,0.708,0.941,0.818,0.941,100.0
광희동,중구,12,0.181,0.26,1.0,0.572,0.625,0.833,0.936,100.0
교남동,종로구,3,0.023,0.319,1.0,0.767,0.553,0.833,0.918,100.0
구로1동,구로구,17,0.043,0.615,1.0,0.725,0.953,0.941,0.963,100.0
구로2동,구로구,26,0.141,0.343,1.0,0.608,0.714,0.885,0.964,100.0
