h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,terrain_zone,avg_slope,tall_bldg_count,total_bldg_count,urgency_level,composite_level
8930e1daa3bffff,37.58068430080059,126.96701883755458,11110515,청운효자동,종로구,0.034685256191736014,0.10547934321529864,0.06300289100116108,1.0,0.8444444444444444,0.5015873015873016,1.0,0.9429367265150987,0.39939274116378504,Green,4.017519474029541,2,630,낮음,보통
8930e1c336bffff,37.582946840988605,127.04061801065566,11230545,제기동,동대문구,0.06623314524305365,0.23524638517277696,0.13383844121494298,1.0,1.0,0.5,0.5,0.8681632772907678,0.21704081932269195,Yellow,9.281917572021484,0,882,보통,낮음
8930e1caed3ffff,37.509725827427076,127.0554959399318,11680580,삼성1동,강남구,0.5127902518549613,0.36390344801388275,0.4532355303185298,0.0,0.8444444444444444,0.7196078431372549,1.0,0.9777816314178944,0.0,Green,1.5642763376235962,2,288,매우 높음,부적합
8930e1da8b3ffff,37.60956275783074,126.9641487027338,11110560,평창동,종로구,0.01694042413340599,0.10667700721327211,0.05283505736535244,1.0,1.0,0.8441176470588235,0.0,0.7,0.0,Red,27.226293563842773,0,159,매우 낮음,부적합
8930e0a5ac7ffff,37.57566629737331,126.84623664616862,<NA>,가양1동,강서구,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9901630775854854,0.9901630775854854,Green,0.6925650238990784,0,0,매우 낮음,최적
8930e1c305bffff,37.596387913463516,127.0128781197851,11290575,동선동,성북구,0.17865376878920594,0.18516184003037972,0.18125699728567546,1.0,0.6111111111111112,0.8156862745098039,0.5,0.9221473002631221,0.229833662636386,Yellow,5.481191635131836,5,193,높음,낮음
8930e1cad4bffff,37.526244345981155,127.08310558393231,11215830,자양2동,광진구,0.027127991053619877,0.15629393178389497,0.07879436734572992,1.0,0.9222222222222223,0.9921568627450981,1.0,0.9728011571081068,0.890102461791422,Green,1.9149248600006104,1,9,낮음,최적
8930e1dabc3ffff,37.58851140491424,126.97290240411934,11110515,청운효자동,종로구,0.034685256191736014,0.10547934321529864,0.06300289100116108,1.0,0.6888888888888889,0.9852941176470589,1.0,0.9534097400776338,0.647134650372956,Green,3.2801706790924072,4,19,낮음,높음
8930e1c2ed3ffff,37.64818379945607,127.06707171790545,11350625,중계2·3동,노원구,0.041526778480665764,0.208476807770115,0.10830679019644547,1.0,0.5333333333333334,0.9598039215686275,1.0,0.9867850971248476,0.5051307765151509,Green,0.9303905367851257,6,47,보통,보통
8930e1cabc3ffff,37.503420941228185,127.0943067912924,11710610,삼전동,송파구,0.10759704396467523,0.21299477383121243,0.1497561359112901,0.0,0.9222222222222223,0.6225490196078431,1.0,0.9785472686097254,0.0,Green,1.5103719234466553,1,386,높음,부적합
