admi_cty_no,hour,total_del_amt,total_del_cnt,hour_ratio
11010530,1,667045830.7899473,8029.256438554854,0.039477993152008034
11010530,2,699336243.4373238,73989.27031268022,0.04138904728131578
11010530,3,5482546364.725538,275001.829974815,0.32447534764722674
11010530,4,1716708962.777122,90448.40139384005,0.10160055208837293
11010530,5,5255498316.927899,177517.82444977795,0.3110378882368035
11010530,6,3075514225.5660505,51745.202551804854,0.18201917159427303
11010540,1,4155233.8349545808,17.496907335515463,0.00104454917662952
11010540,2,90287861.17159376,7310.907439602839,0.022696703673587486
11010540,3,1575663874.5415306,96594.70752741145,0.39609284776032955
11010540,4,1032167660.1466835,85230.13220136618,0.2594679198268564
11010540,5,1142613048.5296705,73771.1150641694,0.2872318541998152
11010540,6,133128798.09160446,2926.494411276357,0.03346612536278191
11010550,1,6784037.131805079,72.4883210271244,0.016883387558332474
11010550,2,27005537.455239862,1827.5812068035632,0.06720849933740879
11010550,3,161046768.06743616,7174.169770854526,0.4007960079628778
11010550,4,75194413.19985858,3217.3529932532106,0.18713583012727533
11010550,5,108009138.72146107,3619.4700086875837,0.2688016167138687
11010550,6,23777401.175190087,280.8020771564411,0.059174658300236826
11010560,1,63168125.990648225,867.9987171173657,0.062033680267166304
11010560,2,216009518.9150588,10689.506025973831,0.2121301719956828
11010560,3,251899512.286102,14852.69840328525,0.24737561166409436
11010560,4,129431981.04754354,6373.573471332893,0.12710749294411433
11010560,5,237022226.44534564,8486.765586260983,0.2327655092015747
11010560,6,120756212.62163125,2237.3013250078625,0.11858753392736755
11010570,1,9311346.235873803,257.6767230806966,0.048808295407080954
11010570,2,7423463.904912643,683.9906126382863,0.0389123774410669
11010570,3,40857631.69426468,2329.3109149650477,0.21416788795634806
11010570,4,20797928.42405432,1300.6338987872464,0.10901876148323765
11010570,5,65797872.621385664,2809.662890687773,0.34489985902244785
11010570,6,46585603.20885505,1345.7603255991348,0.24419281868981849
11010580,1,3603706.098102772,33.281096394407655,0.003869047525381932
11010580,2,6869738.349279484,585.7018176488127,0.00737555822720789
11010580,3,379033204.08122575,11368.04580036598,0.4069414764595015
11010580,4,101301593.63810681,3046.8792488072827,0.10876044536181975
11010580,5,338629384.71518314,7610.832631030868,0.36356271773762205
11010580,6,101981817.9456848,1710.5954540434452,0.1094907546884668
11010600,1,18837693.573802855,378.99226598157315,0.00372684446062658
11010600,2,132920329.53673705,12001.205115288913,0.026296923872227776
11010600,3,1455367515.8602784,66208.57894280812,0.28792953571570334
11010600,4,1024195842.9204321,50813.159441582124,0.20262664263171914
11010600,5,1788483119.4932787,63546.54845181175,0.3538330412209851
11010600,6,634791624.8610358,11871.84325205913,0.12558701209873796
11010610,1,5000786645.466116,83885.50556321166,0.08866418903925721
11010610,2,1182122014.8479195,87672.6291193491,0.020959080485261173
11010610,3,12230592199.602236,600610.0314472945,0.21684899111438108
11010610,4,4736120555.958296,238554.8909799154,0.0839716464742434
11010610,5,18461289036.237083,502525.19440457044,0.3273195473158848
11010610,6,14790514967.253025,263659.3572090197,0.2622365455709724
11010630,1,345301349.42415124,3780.702796015565,0.03961730122988579
11010630,2,221300389.11876673,20217.59814091415,0.02539035596770799
11010630,3,2206798293.7441473,113924.43102848108,0.2531915757139667
11010630,4,1189416209.9702063,56754.288459146395,0.1364647440755207
11010630,5,2963619869.011057,87918.9783109594,0.34002363812735714
11010630,6,1789486950.2366529,31069.951853696864,0.20531238488556156
11010640,1,227552348.59809905,3790.3523348205736,0.0404301275817769
11010640,2,58250524.690185204,6231.620569464461,0.010349601572731503
11010640,3,1134478832.7020879,49423.611740509295,0.20156735022753317
11010640,4,619674731.2485021,30924.645225624554,0.11010006531652888
11010640,5,2142896520.5988057,68168.86404342299,0.3807369172680966
11010640,6,1445433723.6187468,27643.54061239984,0.25681593803333297
11010670,1,251148699.4879858,3629.8649205723787,0.0661203663674629
11010670,2,174303826.14808232,5849.015446659207,0.045889279409599665
11010670,3,636099829.5341792,37268.6116287009,0.16746713744019448
11010670,4,587775962.6431853,27147.88341276528,0.15474482675477572
11010670,5,1346107707.0122814,42856.90060933011,0.35439217857457067
11010670,6,802920113.9202641,15204.057242473067,0.21138621145339653
11010680,1,56540089.17031867,1581.784148503379,0.032837294157588744
11010680,2,42974224.033804014,3184.296781783639,0.02495852511907506
11010680,3,197951374.0942692,9892.939807244536,0.11496599307531252
11010680,4,196877426.21606764,7569.190630499301,0.11434226674406833
11010680,5,731046273.7311146,24443.834098592302,0.4245762941937442
11010680,6,496436074.3463086,13932.481579246114,0.2883196267102111
11010690,1,6664916.809189355,144.1473424086338,0.06915477136726597
11010690,2,197531.63713176525,18.03121260561772,0.0020495762504964335
11010690,3,3571554.0654441654,179.41059602649005,0.03705822771577273
11010690,4,1730488.8028747896,102.3701727943975,0.017955446548323137
11010690,5,45620369.5512099,1335.2823737450628,0.4733541792531128
11010690,6,38591957.06611065,962.2890051423883,0.40042779886502905
11010700,1,23766225.040085845,501.55542433161634,0.08533495525115621
11010700,2,2871805.8501882963,247.09853270660477,0.010311499756586573
