H3_ID,생활인구합계,FNB_Count,Parking_Count,Total_Spaces,RainPump_Count,Storage_Hub_Score,Elevation_Diff,Park_Count,Hiking_Count,Univ_Count,Delivery_HardToReach_Score,Apt_Count,Total_Households,Apt_Parking,OpenSpace_Count,Max_Building_Height,Avg_Building_Height,Building_Count,Optimal_Triangulation_Score,Is_Restricted,Is_Prohibited,Scen_1_No_Restrict,Scen_2_Only_Prohibited,Scen_3_All_Restricted
8930e034483ffff,1380.261399.941418.791428.221429.151409.21361.181278.281102.92916.99932.57881.84817.38746.23800.92859.39881.29896.67997.581148.91268.891318.821348.481367.15,0.0,0.0,0.0,0,3.0,105.0,0.0,2.0,0.0,220.0,0.0,0.0,0.0,1,12.0,12.0,1,7.896751127256161,0,0,True,True,True
8930e034493ffff,453.93450.56447.446.34449.73455.67.24*12.5212.72696.068.029.0614.729.0620.3613.59.110.28.598.528.938.86*,0.0,0.0,0.0,0,3.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1,15.0,13.5,2,8.420187253781492,0,0,True,True,True
8930e034497ffff,************************,0.0,0.0,0.0,0,3.0,110.0,0.0,1.0,0.0,225.0,0.0,0.0,0.0,1,0.0,0.0,0,9.545325711729602,0,0,True,True,True
8930e0344b7ffff,*******4.114.244.54.754.794.834.854.894.854.834.954.774.584.464.294.184.02,0.0,0.0,0.0,0,0.0,145.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0,0.0,0.0,0,12.167874740023418,0,0,True,True,True
8930e034537ffff,************************,0.0,0.0,0.0,0,3.0,90.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,1,0.0,0.0,0,2.920588006533406,0,0,True,True,True
8930e036003ffff,253.69683.31258.94710.7258.94705.21258.94710.22255.66727.91255.66729.25265.25754.93251.221323.97232.091574.46209.151594.245.48146.141757.855.56146.161564.215.61131.411447.1411.03133.871443.855.65132.591425.7924.66113.961432.2329.44160.661831.3625.48175.081746.0511.33166.081138.3918.94203.39620.11.37221.74599.2315.86233.06609.364.55287.85637.73289.1628.579.15,39.0,0.0,0.0,0,6.755,10.0,0.0,0.0,0.0,20.0,1.0,1236.0,1351.0,0,31.0,26.0,2,18.712672540859778,0,0,True,True,True
8930e036007ffff,4693.344670.974726.674699.284684.434719.014580.84325.093820.663281.493138.43059.062989.142961.682875.752941.953027.343213.373471.453802.313950.554261.214338.234371.92,5.0,0.0,0.0,0,3.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1,15.0,8.941176470588236,17,18.70255049328044,0,0,True,True,True
8930e03600bffff,28.4632.8329.1729.1729.1723.9932.157.4167.13260.99298.15241.62207.23260.92273.91295.57259.4253.4177.7294.874.8246.4829.9524.86,13.0,0.0,0.0,0,1.2650000000000001,25.0,0.0,0.0,0.0,50.0,1.0,229.0,253.0,0,59.0,33.0,5,16.159746613515935,0,0,True,True,True
8930e03600fffff,5.184273.445.184303.585.184351.965.184379.094.84386.694.84369.54.84313.4418.814262.3810.54251.55*5.044571.915.124447.815.164467.925.24430.615.24412.855.24406.115.24406.945.164308.115.124265.765.044061.559.234178.3814.654254.4214.534161.874.6319.644012.574.5915.334002.99,6.0,1.0,20.0,0,0.9,15.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0,29.0,12.909090909090908,11,17.758079833731685,0,0,True,True,True
8930e036013ffff,2654.2634.532623.072637.742562.432540.952581.492461.822129.861807.831596.041459.21378.021342.291341.261383.061417.071537.831772.21958.452168.42269.112385.612452.91,0.0,0.0,0.0,0,0.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0,0.0,0.0,0,15.313854380117004,0,0,True,True,True
8930e036017ffff,85.5185.5185.5185.5182.82.90.4682.0275.859.1765.7770.9866.0371.6471.6461.7262.9752.2866.6973.2173.1475.9178.1373.89,6.0,0.0,0.0,0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0,7.0,7.0,2,16.95449898196098,0,0,True,True,True
8930e03601bffff,2068.242067.342084.162075.552111.032158.272125.312216.32080.442035.132035.461979.091862.531938.581993.711985.342153.382405.142200.812061.972134.382099.12102.562016.26,15.0,0.0,0.0,0,13.125,5.0,0.0,0.0,0.0,10.0,2.0,2035.0,2625.0,0,0.0,0.0,0,18.784754096549015,0,0,True,True,True
8930e036023ffff,728.2728.1310.74461.12686.9728.1310.74503.08672.6928.1310.74547.1681.9523.7110.74552.58679.723.7110.74529.28665.6623.7110.74463.91616.0823.7110.74276.87534.2314.285.44183.61525.4210.445.543968.74558.165.533846.97550.125.613836.04578.925.663758.92572.465.73619.13532.45.73719.38538.745.73697.15571.745.711.623603.75597.165.6611.523548.52564.995.6111.443570.46558.914.8911.263854.74566.8118.985.543994.42544.0118.825.494036.17579.8918.6714.814162.71580.918.5114.684259.6605.9823.7110.74290.87,13.0,0.0,0.0,0,3.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1,16.0,8.590909090909092,22,18.82291632678883,0,0,True,True,True
