학교명,lat,lon
서울대학교,37.4597,126.9520
연세대학교,37.5665,126.9389
고려대학교,37.5895,127.0323
서강대학교,37.5514,126.9410
성균관대학교,37.5880,126.9934
한양대학교,37.5579,127.0440
중앙대학교 서울캠퍼스,37.5050,126.9570
경희대학교,37.5972,127.0512
서울시립대학교,37.5843,127.0575
건국대학교,37.5408,127.0793
동국대학교,37.5581,126.9998
국민대학교,37.6107,126.9967
숭실대학교,37.4965,126.9573
세종대학교,37.5512,127.0738
홍익대학교,37.5507,126.9254
광운대학교,37.6197,127.0588
명지대학교 인문캠퍼스,37.5808,126.9236
상명대학교,37.6026,126.9558
서울여자대학교,37.6283,127.0905
성신여자대학교,37.5916,127.0166
숙명여자대학교,37.5462,126.9647
이화여자대학교,37.5625,126.9468
덕성여자대학교,37.6513,127.0166
동덕여자대학교,37.6070,127.0432
한성대학교,37.5826,127.0097
서경대학교,37.6152,127.0134
총신대학교,37.4882,126.9810
추계예술대학교,37.5797,126.9590
한국외국어대학교,37.5972,127.0584
삼육대학교,37.6425,127.1057
한국체육대학교,37.5203,127.1271
서울교육대학교,37.4910,127.0143
경기대학교,37.5691,126.9348
감리교신학대학교,37.5681,126.9633
장로회신학대학교,37.5221,126.9681
한영신학대학교,37.4872,126.9892
한국성서대학교,37.6485,127.0622
성공회대학교,37.4878,126.8255
인덕대학교,37.5818,127.0580
서일대학교,37.5799,127.0877
한양여자대학교,37.5580,127.0497
가톨릭대학교,37.5862,127.0029
그리스도대학교,37.4965,127.0495
한국방송통신대학교,37.5660,126.9772
한국예술종합학교,37.6175,127.0475
한국폴리텍 I 대학 서울강서캠퍼스,37.5597,126.8354
한국폴리텍Ⅰ대학 서울정수캠퍼스,37.5605,127.0384
동양미래대학교,37.5623,127.0787
명지전문대학,37.5851,126.9239
배화여자대학교,37.5783,126.9710
백석예술대학교,37.5897,126.9623
서울여자간호대학교,37.5890,126.9330
숭의여자대학교,37.5375,126.9621
국제예술대학,37.5100,127.0440
디지털서울문화예술대학교,37.5660,126.9773
사이버한국외국어대학교,37.5972,127.0584
서울기독대학교,37.5130,126.8423
서울디지털대학교,37.5751,126.9690
서울사이버대학교,37.5817,127.0050
