위도,경도,주차장유형,주차구획수,주차장구분,주차장명
37.45819382,127.0396269,노상,45,공영,신원지하차도 상부도로
37.478603,127.0413575,노외,175,공영,양재
37.44955521,127.0579168,노외,80,공영,내곡동 임시
37.482243,126.9920242,노외,49,공영,중앙로
37.4704204,127.0384652,노외,46,공영,매헌시민의숲(매헌)역
37.471894,127.0424265,노외,101,공영,양재근린공원
37.4854463,126.9925579,노외,120,공영,방배1동
37.4706412,127.0412781,노외,32,공영,양재2동주민센터
37.4890028,126.9922501,노외,109,공영,방배열린문화센터
37.4974872,127.0003241,노외,51,공영,반포4동 주민센터
37.50429,126.9953408,노외,162,공영,반포2동
37.5161854,127.0163843,노외,92,공영,잠원동 방음언덕형
37.4923272,127.0168126,노외,67,공영,무궁화
37.4723312,127.0430088,노외,190,공영,언남문화체육센터
37.4971758,126.9986658,노외,71,공영,서래마을
37.5049722,127.0183131,노외,88,공영,반포동 방음언덕형
37.4716366,127.0485008,노외,131,공영,구룡공원
37.4700443,127.0443493,노외,121,공영,동산마을
37.4962789,126.985401,노외,152,공영,방배카페골목
37.5000322,127.0104462,노외,177,공영,반포 둥근마을
37.5047241,127.0209708,노외,51,공영,언구비
37.4465698,127.0599447,노외,41,공영,청계산청룡
37.4981599,126.9978271,노외,7,공영,반포서래
37.4458831,127.0568139,노외,95,공영,청계산근린광장
37.4723013,127.0382044,노외,143,공영,매헌시민의숲동측
37.4940332,127.0158921,노외,27,공영,교대역동측
37.4937426,127.0108109,노상,23,공영,법원입구도로
37.4955055,126.9887363,노상,6,공영,방배가구거리
37.4955055,126.9887363,노상,4,공영,방배사이길
37.4955026,126.9857983,노상,51,공영,방배중앙로
37.4831582,126.9966972,노상,9,공영,방배역
37.4830018,126.9825637,노상,148,공영,방배복개도로 제2지역
37.4780085,126.9826064,노상,124,공영,방배복개도로 제1지역
37.5042121,127.0103346,노상,37,공영,반포복개천
37.6070744,127.0601254,노외,77,공영,석관동
37.5847177,127.007389,노외,133,공영,삼선동
37.59915465,127.0147755,부설,100,공영,시네마부설주차장
37.59483642,126.9938746,노외,26,공영,성북동길
37.61110175,127.052485,노외,6,공영,장위시장2
37.60820115,127.0093728,노외,18,공영,정릉시장
37.60935675,127.0530356,노외,49,공영,벤처빌딩
37.61734643,127.0529242,노외,98,공영,마을공원
37.61460901,127.0409876,노외,64,공영,동방고개
37.59508412,127.0266611,노외,26,공영,개운산
37.58945628,127.0168496,부설,200,공영,구청사부설
37.58660133,127.0163213,노외,123,공영,경동고
37.53357838,126.972694,노외,169,공영,삼각지임시
37.52066695,126.9743019,노상,12,공영,이촌1동
37.52012404,126.9686741,노상,22,공영,이촌로54길
37.53023598,126.969191,노상,14,공영,한강로2가동
37.53088001,126.9957211,노상,9,공영,이태원1동
37.51837375,126.9791209,노상,15,공영,한강쇼핑
37.55042378,126.976155,노외,39,공영,후암동
37.5454353,126.9698684,노외,34,공영,청파동청사
37.5427848,126.9685904,노외,99,공영,청파동1마을공원
37.5389156,126.9575712,노외,39,공영,용문동
37.54607483,126.9855706,노외,60,공영,용산2가(소월)
37.5516134,126.9643647,노외,31,공영,서계동
37.53381211,126.9634197,노외,42,공영,용산전자상가5
37.5338443,126.9603066,노외,114,공영,용산전자상가4
37.5325369,126.9603363,노외,167,공영,용산전자상가3
37.5326215,126.9631106,노외,196,공영,용산전자상가2
37.53203976,126.9647712,노외,202,공영,용산전자상가1
37.5430004,126.9880824,노외,54,공영,용산2가동 기계식
37.54047812,126.9927159,노외,109,공영,이태원2동
37.53485709,127.0002687,노외,248,공영,한남동
37.53001857,127.007355,노외,124,공영,한남유수지
37.5352563,126.9552031,노외,108,공영,신창동
37.4933415,127.0626234,노상,27,공영,대치동507-3
37.500503,126.887942,노외,9,민영,길동주차장
37.489143,126.8850102,노외,7,민영,나이스파크 구로시장점
37.4884161,126.8817759,노외,16,민영,교회부설주차장
37.4894996,126.8834727,노외,2,민영,동부에이스빌라 앞
37.503943,126.8496698,노외,12,민영,고척동 주택가
37.4953011,126.8502246,노외,31,민영,행복3주차장
37.493559,126.856455,노외,8,민영,원진주차장
37.4825702,126.8903331,노외,33,민영,교회주차장
37.498773,126.854242,노외,5,민영,더 스토리
37.498816,126.854128,노외,5,민영,더 스토리Ⅱ
37.50003545,126.8663371,노외,56,민영,고척돔주차장
37.4940442,126.8444533,노외,110,민영,행복주차장
37.4960318,126.8398934,노외,8,민영,원광주차장
37.5058787,126.8849846,노외,52,민영,코리아빌딩 노외주차장
37.4911125,126.8562543,노외,31,민영,형제주차장
37.4952613,126.8496114,노외,23,민영,대성주차장
37.4952151,126.8494021,노외,6,민영,대영주차장
37.4921597,126.8425189,노외,10,민영,삼칠주차장
37.4965424,126.8426725,노외,12,민영,행복주차장(서림주차장)
37.4971367,126.8397491,노외,12,민영,예원주차장
37.4996324,126.8437381,노외,20,민영,영지주차장
37.4964163,126.8454184,노외,8,민영,반도주차장
37.4943592,126.8446007,노외,70,민영,오류동역주차장
37.4922385,126.8218571,노외,15,민영,온수주차장
37.4962467,126.8175052,노외,6,민영,형제 주차장
37.5074425,126.8922692,노외,52,민영,신도림역 주차장
37.4860792,126.885968,노외,23,민영,예술인주차장
37.4898542,126.891512,노외,55,민영,현대주차장
37.4950983,126.8918256,노외,77,민영,AJ파크 주차장(구로점)
37.4849029,126.9003836,노외,65,민영,동일주차장
37.494328,126.8889273,노외,9,민영,신광주차장
37.493404,126.8837451,노외,34,민영,구로본동주차장
37.4946045,126.8885026,노외,10,민영,대신주차장
37.487328,126.8841796,노외,8,민영,세창주차장
37.4944679,126.8580288,노외,6,민영,개봉역 1번출구 주차장
37.4953011,126.8502246,노외,11,민영,대건주차장
37.4854528,126.8830564,노외,28,민영,영일주차장
37.4812705,126.8888652,노외,69,민영,시장주차장
37.4802507,126.8890205,노외,10,민영,가리봉주차장
37.50191134,126.849904,노외,20,공영,고척근린시장 공영주차장
37.497534,126.8838995,노외,104,공영,구로2동 소공원 공영주차장
37.50786379,126.8922179,노외,52,공영,구로미래도서관 공영주차장
37.506687,126.848479,노외,16,공영,고척동 삼덕마을
37.506008,126.84971,노외,17,공영,고척동 소규모
