name,facility,address,lat,lon,capacity,idle_score,terrain_zone,avg_slope,delivery_mode,new_covered,total_covered,coverage_pct
반포천 공영주차장(파미에)(시),주차장,서초구 반포동 118-3,37.504517,127.007933,1186.0,0.8286713286713286,Green,0.7439363598823547,드론+로봇 Full 배송,245,245,0.13424657534246576
영남 공영주차장(시),주차장,영등포구 영등포동4가 123-0,37.51947074,126.90260898,570.0,0.3979020979020979,Green,2.536090135574341,드론+로봇 Full 배송,222,467,0.25589041095890414
구로디지털단지역 공영주차장(시),주차장,구로구 구로동 810-3,37.48543179,126.90124331,91.0,0.06293706293706293,Yellow,7.856388092041016,드론 스테이션 → 인간 수령,144,611,0.33479452054794523
장안1동 공영주차장(시),주차장,동대문구 장안동 392-3,37.56941,127.066994,71.0,0.04895104895104895,Yellow,11.185783386230469,드론 스테이션 → 인간 수령,119,730,0.4
천호역 공영주차장(시),주차장,강동구 천호동 455-0,37.53849749,127.12512853,1431.0,1.0,Green,1.6211049556732178,드론+로봇 Full 배송,115,845,0.46301369863013697
압구정고가1 공영주차장(시),주차장,강남구 신사동 668-0,37.52615442,127.0284496,1.0,0.0,Green,3.238884449005127,드론+로봇 Full 배송,103,948,0.5194520547945205
구파발역 공영주차장(시),주차장,은평구 진관동 70-1,37.638209,126.918987,399.0,0.2783216783216783,Yellow,6.987624168395996,드론 스테이션 → 인간 수령,98,1046,0.5731506849315069
봉천복개3 공영주차장(시),주차장,관악구 신림동 1467-3,37.48685341,126.93319061,1.0,0.0,Green,2.3131115436553955,드론+로봇 Full 배송,95,1141,0.6252054794520548
석계역 공영주차장(시),주차장,노원구 월계동 50-9,37.615292,127.062997,70.0,0.04825174825174825,Green,4.434595108032227,드론+로봇 Full 배송,94,1235,0.6767123287671233
청계7가 공영주차장(시),주차장,종로구 창신동 436-87,37.57195823,127.02048418,1.0,0.0,Green,3.86326003074646,드론+로봇 Full 배송,74,1309,0.7172602739726027
진흥로 공영주차장(시),주차장,은평구 역촌동 41-8,37.6013754,126.9202208,1.0,0.0,Yellow,5.456007957458496,드론 스테이션 → 인간 수령,64,1373,0.7523287671232877
여의서로 공영주차장(시),주차장,영등포구 여의도동 8-1,37.533081,126.91747889,1.0,0.0,Green,3.206594467163086,드론+로봇 Full 배송,51,1424,0.7802739726027397
난지중앙로노상공영주차장(시),주차장,마포구 상암동 481-94 ,37.5688532,126.8802191,1.0,0.0,Green,1.583771824836731,드론+로봇 Full 배송,39,1463,0.8016438356164384
세종로 공영주차장(시),주차장,종로구 세종로 80-1,37.57340269,126.97588429,1260.0,0.8804195804195805,Green,3.0105040073394775,드론+로봇 Full 배송,31,1494,0.8186301369863014
도봉로 15길 공영주차장(시),주차장,강북구 미아동 458-7,37.61668076,127.02868891,1.0,0.0,Green,0.5732720494270325,드론+로봇 Full 배송,30,1524,0.8350684931506849
명일파출소 공영주차장(시),주차장,강동구 명일동 47-9,37.55361065,127.15591212,12.0,0.007692307692307693,Green,0.45447033643722534,드론+로봇 Full 배송,23,1547,0.8476712328767123
창동역(서) 공영주차장(시),주차장,도봉구 창동 330-0,37.65237042,127.04567683,106.0,0.07342657342657342,Yellow,6.202658653259277,드론 스테이션 → 인간 수령,20,1567,0.8586301369863014
천왕역 공영주차장(시),주차장,구로구 천왕동 280-11,37.48728845,126.83918316,327.0,0.22797202797202798,Green,1.65472412109375,드론+로봇 Full 배송,19,1586,0.869041095890411
면목유수지 공영주차장(시),주차장,중랑구 면목동 168-2,37.579494,127.081451,567.0,0.3958041958041958,Green,0.5634061098098755,드론+로봇 Full 배송,16,1602,0.8778082191780822
사당노외 공영주차장(시),주차장,서초구 방배동 507-1,37.47543791,126.98377372,183.0,0.1272727272727273,Red,15.29128646850586,드론 직배송만 가능,15,1617,0.886027397260274
