hub_name,n_routes,avg_distance,avg_flight_time,max_distance
구로디지털단지역 공영주차장(시),5,1999.5,3.3,2431.6
구파발역 공영주차장(시),5,493.3,0.8,915.7
난지중앙로노상공영주차장(시),5,1782.5,3.0,2037.5
도봉로 15길 공영주차장(시),5,1766.5,2.9,2046.1
면목유수지 공영주차장(시),5,2322.9,3.9,3138.3
명일파출소 공영주차장(시),5,1829.0,3.0,2452.6
반포천 공영주차장(파미에)(시),5,2213.6,3.7,2540.2
봉천복개3 공영주차장(시),5,1757.7,2.9,2391.3
사당노외 공영주차장(시),5,2232.5,3.7,2502.7
석계역 공영주차장(시),5,1984.7,3.3,2253.1
세종로 공영주차장(시),5,3302.9,5.5,3640.4
압구정고가1 공영주차장(시),5,2346.4,3.9,2465.0
여의서로 공영주차장(시),5,1283.8,2.1,1890.5
영남 공영주차장(시),5,817.5,1.4,1546.5
장안1동 공영주차장(시),5,2782.9,4.6,3219.2
진흥로 공영주차장(시),5,1311.2,2.2,1669.4
창동역(서) 공영주차장(시),5,1311.5,2.2,1600.4
천왕역 공영주차장(시),5,740.1,1.2,1274.2
천호역 공영주차장(시),5,1407.1,2.3,1769.3
청계7가 공영주차장(시),5,1799.0,3.0,2416.1
