h3_index,CSV_ADMI_CD,ADM_NM,GU_NM,avg_total_pop,daytime_pop,evening_pop,night_pop,peak_hour,peak_hour_pop,young_active_pop,h3_cells_in_dong,estimated_h3_pop,estimated_h3_daytime_pop,estimated_h3_evening_pop,estimated_h3_night_pop,pop_density_index,daytime_pop_index,evening_pop_index,night_pop_index,young_active_pop_index
8930e1d8c9bffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1daa6fffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1d8c8bffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1d8cd3ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1d8cc3ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1daa73ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1d8c13ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1d8c8fffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1daa63ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1daa0bffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1d8cd7ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1d8cc7ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1daa77ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1d8c93ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1daa67ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1d8c83ffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1daa7bffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1daa6bffff,11110530,사직동,종로구,25676.874777850167,40199.625901136365,22040.403033333332,11781.845222995145,13,42220.690907162534,14721.675669200638,18,1426.49,2233.31,1224.47,654.55,0.200535,0.270424,0.203011,0.10112,0.202275
8930e1dab7bffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab07ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab33ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab8fffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab03ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dabbbffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1d8ca7ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab47ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab8bffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab17ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab73ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1d8ca3ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab87ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab13ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1d8cb7ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab83ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab0fffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1d8cb3ffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dab0bffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1dababffff,11110540,삼청동,종로구,6359.76395441212,9585.073378650137,4910.2269815427,3899.0904551508843,14,10479.06640413223,3418.7484267538835,20,317.99,479.25,245.51,194.95,0.044703,0.058031,0.040704,0.030117,0.042276
8930e1da8c7ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da877ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
8930e1da863ffff,11110550,부암동,종로구,11571.393728486555,11685.73799869146,11048.3408077135,11757.07151958869,12,12021.132351790635,4733.416208343099,31,373.27,376.96,356.4,379.26,0.052474,0.045645,0.059089,0.058591,0.037763
