h3_index,상권업종대분류명,store_count
8930e034493ffff,과학·기술,1
8930e034493ffff,소매,1
8930e034493ffff,수리·개인,2
8930e03449bffff,과학·기술,2
8930e03449bffff,소매,2
8930e03449bffff,음식,8
8930e036003ffff,과학·기술,16
8930e036003ffff,교육,15
8930e036003ffff,보건의료,3
8930e036003ffff,부동산,6
8930e036003ffff,소매,21
8930e036003ffff,수리·개인,13
8930e036003ffff,숙박,2
8930e036003ffff,시설관리·임대,7
8930e036003ffff,예술·스포츠,5
8930e036003ffff,음식,91
8930e036007ffff,과학·기술,9
8930e036007ffff,교육,2
8930e036007ffff,부동산,4
8930e036007ffff,소매,7
8930e036007ffff,수리·개인,16
8930e036007ffff,시설관리·임대,3
8930e036007ffff,예술·스포츠,2
8930e036007ffff,음식,26
8930e03600bffff,과학·기술,21
8930e03600bffff,교육,4
8930e03600bffff,보건의료,6
8930e03600bffff,부동산,3
8930e03600bffff,소매,14
8930e03600bffff,수리·개인,13
8930e03600bffff,시설관리·임대,6
8930e03600bffff,예술·스포츠,3
8930e03600bffff,음식,21
8930e03600fffff,과학·기술,13
8930e03600fffff,교육,10
8930e03600fffff,보건의료,5
8930e03600fffff,부동산,6
8930e03600fffff,소매,17
8930e03600fffff,수리·개인,12
8930e03600fffff,숙박,3
8930e03600fffff,시설관리·임대,8
8930e03600fffff,예술·스포츠,11
8930e03600fffff,음식,32
8930e036013ffff,과학·기술,2
8930e036013ffff,교육,1
8930e036013ffff,부동산,2
8930e036013ffff,소매,1
8930e036013ffff,예술·스포츠,1
8930e036017ffff,과학·기술,1
8930e036017ffff,교육,4
8930e036017ffff,보건의료,1
8930e036017ffff,부동산,3
8930e036017ffff,소매,10
8930e036017ffff,수리·개인,10
8930e036017ffff,숙박,1
8930e036017ffff,시설관리·임대,2
8930e036017ffff,예술·스포츠,3
8930e036017ffff,음식,9
8930e03601bffff,과학·기술,3
8930e03601bffff,교육,12
8930e03601bffff,보건의료,1
8930e03601bffff,부동산,1
8930e03601bffff,소매,2
8930e03601bffff,수리·개인,6
8930e03601bffff,시설관리·임대,1
8930e03601bffff,예술·스포츠,2
8930e03601bffff,음식,22
8930e036023ffff,과학·기술,4
8930e036023ffff,교육,6
8930e036023ffff,보건의료,20
8930e036023ffff,부동산,4
8930e036023ffff,소매,54
8930e036023ffff,수리·개인,16
8930e036023ffff,시설관리·임대,3
8930e036023ffff,예술·스포츠,7
8930e036023ffff,음식,41
8930e036027ffff,과학·기술,4
8930e036027ffff,교육,13
8930e036027ffff,부동산,2
8930e036027ffff,소매,22
8930e036027ffff,수리·개인,21
8930e036027ffff,예술·스포츠,1
8930e036027ffff,음식,14
8930e03602bffff,과학·기술,9
8930e03602bffff,교육,9
8930e03602bffff,보건의료,1
8930e03602bffff,부동산,7
8930e03602bffff,소매,79
8930e03602bffff,수리·개인,32
8930e03602bffff,시설관리·임대,4
8930e03602bffff,예술·스포츠,3
8930e03602bffff,음식,42
8930e03602fffff,과학·기술,4
8930e03602fffff,소매,9
8930e03602fffff,수리·개인,7
8930e03602fffff,시설관리·임대,1
8930e03602fffff,음식,1
8930e036033ffff,과학·기술,7
8930e036033ffff,교육,1
8930e036033ffff,소매,8
8930e036033ffff,수리·개인,5
8930e036033ffff,시설관리·임대,3
8930e036033ffff,음식,4
8930e036037ffff,과학·기술,5
8930e036037ffff,교육,6
8930e036037ffff,보건의료,2
8930e036037ffff,부동산,3
8930e036037ffff,소매,15
8930e036037ffff,수리·개인,14
8930e036037ffff,숙박,1
8930e036037ffff,예술·스포츠,3
8930e036037ffff,음식,21
8930e03603bffff,과학·기술,3
8930e03603bffff,교육,2
8930e03603bffff,부동산,1
8930e03603bffff,소매,7
8930e03603bffff,수리·개인,4
8930e03603bffff,시설관리·임대,1
8930e036047ffff,과학·기술,1
8930e036047ffff,보건의료,1
8930e036047ffff,부동산,1
8930e036047ffff,소매,7
8930e036047ffff,수리·개인,2
8930e036047ffff,시설관리·임대,2
8930e036047ffff,음식,10
8930e03604fffff,음식,1
8930e036053ffff,과학·기술,5
8930e036053ffff,부동산,3
8930e036053ffff,소매,4
8930e036053ffff,수리·개인,5
8930e036053ffff,시설관리·임대,4
8930e036053ffff,예술·스포츠,1
8930e036053ffff,음식,6
8930e036057ffff,소매,1
8930e036057ffff,수리·개인,1
8930e036057ffff,음식,2
8930e03605bffff,과학·기술,5
8930e03605bffff,부동산,1
8930e03605bffff,소매,4
8930e03605bffff,수리·개인,7
8930e03605bffff,시설관리·임대,3
8930e03605bffff,음식,7
8930e036063ffff,과학·기술,7
8930e036063ffff,교육,19
8930e036063ffff,보건의료,43
8930e036063ffff,부동산,6
8930e036063ffff,소매,67
8930e036063ffff,수리·개인,15
8930e036063ffff,숙박,6
8930e036063ffff,시설관리·임대,3
8930e036063ffff,예술·스포츠,29
8930e036063ffff,음식,152
8930e036067ffff,과학·기술,5
8930e036067ffff,교육,5
8930e036067ffff,보건의료,4
8930e036067ffff,부동산,5
8930e036067ffff,소매,27
8930e036067ffff,수리·개인,18
8930e036067ffff,숙박,1
8930e036067ffff,시설관리·임대,1
8930e036067ffff,예술·스포츠,2
8930e036067ffff,음식,22
8930e03606bffff,과학·기술,79
8930e03606bffff,교육,16
8930e03606bffff,보건의료,12
8930e03606bffff,부동산,4
8930e03606bffff,소매,55
8930e03606bffff,수리·개인,27
8930e03606bffff,시설관리·임대,11
8930e03606bffff,예술·스포츠,14
8930e03606bffff,음식,47
8930e03606fffff,과학·기술,4
8930e03606fffff,교육,4
8930e03606fffff,부동산,6
8930e03606fffff,소매,27
8930e03606fffff,수리·개인,25
8930e03606fffff,시설관리·임대,4
8930e03606fffff,예술·스포츠,9
8930e03606fffff,음식,49
8930e036073ffff,과학·기술,7
8930e036073ffff,교육,1
8930e036073ffff,보건의료,7
8930e036073ffff,부동산,6
8930e036073ffff,소매,28
8930e036073ffff,수리·개인,13
8930e036073ffff,숙박,3
8930e036073ffff,시설관리·임대,2
8930e036073ffff,예술·스포츠,10
8930e036073ffff,음식,76
8930e036077ffff,과학·기술,9
8930e036077ffff,교육,3
8930e036077ffff,보건의료,7
8930e036077ffff,부동산,5
8930e036077ffff,소매,93
8930e036077ffff,수리·개인,16
8930e036077ffff,숙박,3
8930e036077ffff,시설관리·임대,8
8930e036077ffff,예술·스포츠,9
8930e036077ffff,음식,43
8930e03607bffff,교육,2
8930e03607bffff,소매,4
8930e03607bffff,수리·개인,2
8930e03607bffff,숙박,3
8930e03607bffff,음식,4
8930e036083ffff,과학·기술,6
8930e036083ffff,교육,4
8930e036083ffff,보건의료,2
8930e036083ffff,부동산,4
8930e036083ffff,소매,12
8930e036083ffff,수리·개인,13
8930e036083ffff,숙박,2
8930e036083ffff,시설관리·임대,1
8930e036083ffff,예술·스포츠,2
8930e036083ffff,음식,17
8930e036087ffff,과학·기술,2
8930e036087ffff,교육,7
8930e036087ffff,보건의료,1
8930e036087ffff,부동산,3
8930e036087ffff,소매,32
8930e036087ffff,수리·개인,10
8930e036087ffff,숙박,4
8930e036087ffff,시설관리·임대,1
8930e036087ffff,예술·스포츠,5
8930e036087ffff,음식,32
8930e03608bffff,과학·기술,1
8930e03608bffff,교육,1
8930e03608bffff,소매,3
8930e03608bffff,수리·개인,1
8930e03608bffff,음식,1
8930e03608fffff,교육,2
8930e03608fffff,부동산,1
8930e03608fffff,소매,2
8930e03608fffff,수리·개인,3
